s_1;s_2;s_3;s_4;s_5;s_20;s_28;s_25;s_29;s_30;s_7_1;s_7_2;s_7_3;s_9;s_10;s_12;s_11;s_13;s_15;s_14;s_16;s_17;s_18;s_19;s_27;lang;email;stato_1;stato_2;stato_3;stato_4;stato_5
3;35;4;2;1;4;3;3;3;2;1;1;1;6;"Umjetni uzgoj";5;3;3;4;5;3;4;1;2;1;4;"";0;0;0;1;0
3;26;5;4;1;3;2;2;3;1;1;1;1;4;"????????????? ?????, ??????? ?????";2;4;4;5;5;4;2;2;2;2;3;"";0;0;0;1;0
2;27;3;4;2;4;3;3;3;2;0;1;0;6;"";;;;;;;;;;;5;"";0;0;1;0;0
2;31;5;4;1;4;4;3;3;1;0;0;1;3;"???????";3;4;3;5;4;3;4;2;2;1;3;"";0;0;0;1;0
3;35;4;4;1;3;3;3;3;2;1;1;1;4;"Odrzivost";3;4;4;5;2;2;5;1;1;1;4;"";0;0;0;1;0
3;28;3;4;1;4;3;4;5;1;1;0;0;3;"Células madre y clonación";3;4;4;6;4;3;5;1;1;1;5;"";0;0;0;1;0
2;19;5;2;1;5;5;5;5;3;0;0;1;4;"";;;;;;;;;;;3;"";0;0;1;0;0
3;40;4;2;1;4;3;3;4;2;1;1;1;3;"GMO";3;5;3;4;6;3;5;2;2;1;4;"";0;0;0;1;0
2;30;5;4;1;4;4;3;4;2;1;0;0;3;"?? ?? ????????";3;4;5;5;3;3;6;1;2;1;3;"";0;0;0;1;0
3;21;5;4;1;4;4;4;4;2;0;0;1;3;"??? ????? ???? ????????";3;5;2;3;3;4;4;2;2;1;3;"";0;0;0;1;0
3;38;5;4;1;4;3;3;4;1;0;0;1;3;"??????";3;4;3;6;2;6;6;1;2;1;3;"";0;0;0;1;0
3;24;4;2;2;;;;;;0;0;0;;"";;;;;;;;;;;4;"";0;0;1;0;0
3;23;4;4;2;6;2;5;3;2;1;1;0;4;"Uzgojeno meso";3;4;4;5;3;2;4;2;1;2;4;"";0;0;0;1;0
3;47;5;4;1;4;3;2;3;1;1;0;0;6;"?????";6;6;6;2;5;5;7;2;2;2;3;"";0;0;0;1;0
3;27;4;4;1;;;;;;0;0;0;;"";;;;;;;;;;;4;"";0;0;1;0;0
3;23;5;4;1;4;4;3;4;2;1;0;0;6;"????????????";3;3;5;5;2;3;5;2;2;1;;"";0;0;0;1;0
2;33;3;4;1;4;3;3;5;2;1;1;1;4;"Carne sintética";3;4;3;4;4;3;6;1;2;1;5;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;4;"";0;1;0;0;0
2;54;5;4;1;3;3;3;2;3;0;0;1;4;"??????? ??? ?? ???";5;4;4;5;6;6;6;1;1;1;3;"";0;0;0;1;0
3;38;5;4;1;4;4;2;3;2;0;1;0;3;"???????";2;3;3;4;4;3;4;2;2;2;3;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;5;"";0;1;0;0;0
3;48;4;2;1;6;2;4;3;2;0;0;1;3;"?ilavost";3;3;3;4;3;3;5;1;2;1;4;"";0;0;0;1;0
3;55;5;2;1;4;3;3;2;2;1;0;0;3;"???? ?? ??????";2;2;3;4;4;4;2;2;2;2;3;"";0;0;0;1;0
3;20;5;2;1;;;;;;0;0;0;;"";;;;;;;;;;;3;"";0;0;1;0;0
3;23;5;4;1;1;2;1;1;1;0;1;0;3;"?????? ???????";4;4;3;5;6;3;6;1;2;1;3;"";0;0;0;1;0
3;39;4;4;1;4;3;3;5;1;1;1;0;3;"Ne razumijem sto je to?no kultivirano meso";3;3;3;4;3;3;;;;;4;"";0;0;1;0;0
3;24;4;4;1;4;4;1;3;1;1;0;0;4;"Umjetno";3;4;3;6;4;3;5;1;2;1;4;"";0;0;0;1;0
3;35;4;2;2;4;2;5;3;2;0;0;1;4;"Fuj";2;2;3;4;4;3;5;2;2;1;4;"";0;0;0;1;0
3;21;5;2;2;4;3;3;4;3;0;0;1;4;"??? ??????????? ?????";2;4;3;6;4;3;4;1;1;1;3;"";0;0;0;1;0
3;60;5;2;1;4;4;2;4;3;0;0;1;3;"??????????";2;3;3;5;5;4;2;2;2;2;3;"";0;0;0;1;0
2;18;5;2;1;4;4;4;3;3;0;0;1;4;"????????????? ?????";2;2;3;3;4;4;2;2;2;2;3;"";0;0;0;1;0
2;22;3;4;1;4;4;4;6;2;1;1;1;4;"Carne que no es natural si no creada en un laboratorio";2;3;4;3;5;2;4;2;2;2;5;"";0;0;0;1;0
3;65;4;1;2;4;3;3;4;3;0;0;1;3;"Kako nas truju";2;2;2;3;5;5;7;2;2;2;4;"";0;0;0;1;0
3;60;3;4;1;3;4;3;3;1;0;1;1;3;"Fatal";6;6;6;2;5;5;4;2;2;2;5;"";0;0;0;1;0
3;25;4;3;2;6;3;3;6;2;1;0;0;3;"Neprirodno";6;6;6;5;4;3;5;2;2;1;4;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;4;"";0;1;0;0;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;;"";0;1;0;0;0
2;60;5;2;1;3;4;3;6;2;0;0;1;3;"????????????";6;6;6;4;5;3;7;2;2;2;3;"";0;0;0;1;0
3;30;4;4;2;4;3;2;4;1;1;0;1;4;"umjetmo";6;6;6;2;5;4;7;2;2;2;4;"";0;0;0;1;0
3;29;4;4;1;3;3;3;4;2;0;0;1;3;"Nemam mi?ljenje";3;2;3;4;4;3;4;2;2;2;4;"";0;0;0;1;0
3;27;5;4;1;4;3;3;5;2;1;1;1;4;"It could be a solution to current problems (environment, animal welfare) but I don't have enough information about health benefits or taste";3;4;3;5;3;2;5;1;2;1;2;"";0;0;0;1;0
